unique_id,n_tasks,time,mem_per_cpu,gpus,cpus_per_task,true_start_time,estimate_start_time,diff_in_s
79834038,8,02:00:00,16Gb,1,1,2022-12-01 14:58:51,2022-12-01 14:57:55,56.0
57321026,2,04:00:00,8Gb,1,1,2022-12-03 14:41:03,2022-12-03 14:40:08,55.0
79506533,8,02:00:00,16Gb,2,1,2022-12-03 14:41:03,2022-12-03 14:40:12,51.0
15902711,4,08:00:00,16Gb,2,2,2022-12-01 14:58:51,2022-12-01 14:58:03,48.0
55446998,8,01:00:00,8Gb,1,1,2022-12-01 14:58:51,2022-12-01 14:58:20,31.0
20899131,1,01:00:00,8Gb,1,2,2022-12-01 23:30:55,2022-12-01 23:31:12,17.0
21360288,1,08:00:00,16Gb,2,2,2022-12-01 14:58:51,2022-12-01 14:58:38,13.0
81078272,4,02:00:00,16Gb,2,1,2022-12-02 15:52:11,2022-12-02 15:52:00,11.0
13631918,4,04:00:00,8Gb,1,1,2022-12-03 14:38:05,2022-12-03 14:37:58,7.0
31220724,8,08:00:00,8Gb,1,1,2022-12-01 14:58:52,2022-12-01 14:58:46,6.0
12449208,8,04:00:00,8Gb,2,1,2022-12-03 14:37:49,2022-12-03 14:37:47,2.0
13304217,1,01:00:00,8Gb,2,2,2022-12-03 14:37:39,2022-12-03 14:37:38,1.0
